Horario;Horas;bets0;valor0;descValor0;bets1;valor1;descValor1;bets2;valor2;descValor2;fluxoApostas;LastSeq10;LastSeq9;LastSeq8;LastSeq7;LastSeq6;LastSeq5;LastSeq4;LastSeq3;LastSeq2;LastSeq1;Resultado
2;1120;15;9702;0;48;22822;1;16;26082;2;0;1;0;1;0;1;1;1;0;0;1;0
2;1120;15;31397;1;47;25191;0;12;45646;2;2;0;1;0;1;1;1;0;0;1;0;1
2;1120;10;37695;1;44;27859;0;23;196452;2;2;1;0;1;1;1;0;0;1;0;0;1
2;1121;10;43861;2;33;17583;0;14;42610;1;0;0;1;1;1;0;0;1;0;0;1;1
2;1121;21;256301;2;43;46042;1;11;27339;0;2;1;1;1;0;0;1;0;0;1;1;0
2;1122;22;176518;2;45;21674;1;12;13055;0;0;1;1;0;0;1;0;0;1;1;0;1
2;1122;13;91011;2;41;28404;1;14;18163;0;0;1;0;0;1;0;0;1;1;0;1;1
2;1122;17;229968;2;44;41563;1;13;22731;0;2;0;0;1;0;0;1;1;0;1;1;1
2;1123;15;16382;0;44;36252;2;13;20990;1;0;0;1;0;0;1;1;0;1;1;0;0
2;1123;12;157556;2;44;35705;0;14;52077;1;2;1;0;0;1;1;0;1;1;0;1;0
2;1124;22;88433;2;48;36145;1;14;27061;0;0;0;0;1;1;0;1;1;0;1;0;0
2;1124;15;51055;1;53;85150;2;11;19539;0;1;0;1;1;0;1;1;0;1;0;2;1
2;1124;23;41455;1;39;32248;0;13;56208;2;1;1;1;0;1;1;0;1;0;2;1;0
2;1125;27;97450;2;41;37273;1;14;15109;0;1;1;0;1;1;0;1;0;2;1;0;0
2;1126;21;30054;1;35;29579;0;15;45839;2;1;1;1;0;1;0;2;1;0;0;1;1
2;1126;34;108584;2;38;24051;1;9;15422;0;1;1;0;1;0;2;1;0;0;1;1;0
2;1127;13;20579;1;31;20960;2;14;8441;0;0;1;0;2;1;0;0;1;1;0;0;0
2;1127;19;33044;2;40;17221;1;13;6923;0;1;0;2;1;0;0;1;1;0;0;0;1
2;1128;12;4899;0;30;22905;1;11;59988;2;2;2;1;0;0;1;1;0;0;0;1;1
2;1128;13;47896;2;41;16669;0;13;30188;1;1;1;0;0;1;1;0;0;0;1;1;1
2;1128;28;189197;2;46;42368;1;13;14851;0;2;0;0;1;1;0;0;0;1;1;1;0
